match_id,filter,ra,dec,class,confidence,period,apparent_mag,absolute_mag,distance_ly
102174673,ACS_F814W,10.7764110565186,41.3585891723633,Long-Period Variable (LPV),92.85%,0.1015,22.579,N/A,N/A
104839822,ACS_F814W,10.9125337600708,41.1948890686035,Long-Period Variable (LPV),99.95%,0.1098,23.318,N/A,N/A
16915364,ACS_F814W,10.7808408737183,41.3597869873047,RR Lyrae,99.09%,0.2624,22.230,0.600,691021.2
18715909,ACS_F814W,10.8334360122681,41.2178535461426,Long-Period Variable (LPV),99.41%,0.2107,24.168,N/A,N/A
28707613,ACS_F814W,10.7817115783691,41.3581619262695,Cepheid Variable,92.81%,0.1876,23.073,0.146,1255497.5
43700786,ACS_F814W,10.8328657150269,41.2176399230957,Cepheid Variable,89.94%,0.1680,23.917,0.263,1754939.1
46001230,ACS_F814W,10.9161863327026,41.1705322265625,Long-Period Variable (LPV),99.86%,0.2358,23.919,N/A,N/A
58657483,ACS_F814W,10.8323364257812,41.2179260253906,RR Lyrae,99.77%,0.1245,23.173,0.600,1066442.5
60061228,ACS_F814W,10.7764253616333,41.358226776123,RR Lyrae,79.68%,0.7777,22.206,0.600,683452.4
60873665,ACS_F814W,10.9152212142944,41.1759300231934,Long-Period Variable (LPV),99.93%,2.5920,22.498,N/A,N/A
62636726,ACS_F814W,10.7831249237061,41.3616676330566,Cepheid Variable,100.00%,0.3028,22.108,-0.359,1016027.2
77176450,ACS_F814W,10.9105291366577,41.1945991516113,Long-Period Variable (LPV),95.90%,0.1123,23.769,N/A,N/A
85094789,ACS_F814W,10.8319120407104,41.2207946777344,RR Lyrae,100.00%,0.3137,22.212,0.600,685134.56
96532279,ACS_F814W,10.7808694839478,41.3594627380371,Cepheid Variable,100.00%,0.1901,22.199,0.132,844961.5
97440206,ACS_F814W,10.9125900268555,41.1959266662598,Long-Period Variable (LPV),99.99%,0.2430,23.907,N/A,N/A
